Year;Country;Ranking;Price (30);Public place bans (22);Public info campaign spending (15);Advertising bans (13);Health warnings (10);Treatment (10);Total (100)
2003;Austria;25;11;7;4;;6;3;31
2005;Austria;26;14;4;0;4;6;3;31
2007;Austria;30;13;4;0;9;6;3;35
2010;Austria;30;13;7;0;7;1;4;32
2013;Austria;34;11;8;0;7;1;4;31
2016;Austria;35;11;8;0;7;5;5;36
2003;Belgium;19;13;6;0;10;7;2;38
2005;Belgium;12;16;8;2;12;7;5;50
2007;Belgium;8;16;13;3;12;9;5;58
2010;Belgium;10;17;13;2;8;4;6;50
2013;Belgium;13;14;13;2;8;4;6;47
2016;Belgium;16;14;15;1;8;5;6;49
2003;Bulgaria;;;;;;;;
2005;Bulgaria;16;19;6;0;9;6;6;46
2007;Bulgaria;13;22;8;0;12;6;6;54
2010;Bulgaria;24;21;6;0;10;1;2;40
2013;Bulgaria;15;18;15;0;10;1;2;46
2016;Bulgaria;19;16;11;0;11;5;4;47
2013;Croatia;26;14;12;0;11;1;2;40
2016;Croatia;25;16;11;0;12;1;4;44
2003;Cyprus;14;23;4;0;11;3;3;44
2005;Cyprus;11;21;9;1;12;6;5;51
2007;Cyprus;19;17;6;0;12;6;5;46
2010;Cyprus;24;14;11;0;10;1;4;40
2013;Cyprus;32;15;7;0;10;1;;33
2016;Cyprus;25;16;8;0;11;1;8;44
2003;Czech Republic;27;11;6;1;5;2;2;27
2005;Czech Republic;20;12;6;0;9;6;5;38
2007;Czech Republic;25;13;6;0;10;6;5;40
2010;Czech Republic;27;14;7;0;8;1;4;34
2013;Czech Republic;31;12;9;0;8;1;4;34
2016;Czech Republic;31;14;9;0;8;5;4;40
2003;Denmark;16;13;2;3;10;6;7;41
2005;Denmark;17;17;3;2;10;6;7;45
2007;Denmark;20;16;3;3;10;6;7;45
2010;Denmark;13;16;11;3;8;1;7;46
2013;Denmark;15;15;11;2;8;4;6;46
2016;Denmark;23;13;11;1;8;5;7;45
2003;Estonia;12;16;16;2;10;1;2;47
2005;Estonia;17;14;9;2;11;1;8;45
2007;Estonia;11;11;13;5;13;6;8;56
2010;Estonia;19;14;12;0;10;1;6;43
2013;Estonia;20;14;12;0;10;1;6;43
2016;Estonia;21;12;12;0;11;5;6;46
2003;Finland;9;13;16;2;13;7;2;53
2005;Finland;7;18;12;1;13;7;7;58
2007;Finland;8;17;12;2;13;7;7;58
2010;Finland;7;17;17;2;10;2;4;52
2013;Finland;9;15;17;3;12;2;6;55
2016;Finland;6;16;18;3;13;5;5;60
2003;France;7;20;6;4;12;6;6;54
2005;France;9;23;6;4;11;6;6;56
2007;France;7;21;12;3;11;6;6;59
2010;France;6;21;17;1;9;1;6;55
2013;France;5;20;17;1;9;4;6;57
2016;France;4;19;18;1;11;9;6;64
2003;Germany;21;15;2;0;4;6;8;35
2005;Germany;22;20;2;0;4;6;4;36
2007;Germany;27;19;2;0;5;6;5;37
2010;Germany;26;17;11;0;4;1;4;37
2013;Germany;33;14;11;0;4;1;2;32
2016;Germany;33;13;11;0;4;5;4;37
2003;Greece;18;15;7;0;5;6;7;40
2005;Greece;20;17;7;0;4;6;4;38
2007;Greece;28;15;7;0;4;6;4;36
2010;Greece;30;15;7;0;6;1;3;32
2013;Greece;29;15;7;0;6;1;6;35
2016;Greece;31;16;7;0;6;5;6;40
2003;Hungary;11;14;10;1;10;6;9;49
2005;Hungary;15;17;6;1;10;6;7;47
2007;Hungary;22;14;6;0;10;6;7;43
2010;Hungary;27;15;6;0;7;1;5;34
2013;Hungary;11;15;13;0;11;3;6;48
2016;Hungary;9;15;17;0;11;5;5;53
2003;Iceland;1;24;16;15;13;10;10;76
2005;Iceland;4;25;11;13;13;6;2;70
2007;Iceland;2;22;17;14;13;6;2;74
2010;Iceland;4;20;17;9;12;1;2;61
2013;Iceland;3;20;17;12;12;4;1;66
2016;Iceland;3;20;17;13;13;4;2;69
2003;Ireland;4;20;15;4;11;6;6;62
2005;Ireland;1;23;21;3;12;6;9;74
2007;Ireland;2;23;21;3;12;6;9;74
2010;Ireland;2;27;21;1;12;2;6;69
2013;Ireland;2;24;21;1;12;5;7;70
2016;Ireland;2;20;22;2;13;5;8;70
2003;Italy;16;11;7;2;11;6;4;41
2005;Italy;8;16;17;2;10;6;6;57
2007;Italy;10;17;17;1;10;6;6;57
2010;Italy;12;16;17;0;8;1;5;47
2013;Italy;15;15;15;2;8;1;5;46
2016;Italy;13;15;14;2;9;5;6;51
2003;Latvia;25;11;7;1;6;6;0;31
2005;Latvia;28;9;6;1;6;6;1;29
2007;Latvia;24;9;12;0;9;6;1;41
2010;Latvia;17;18;14;0;9;3;0;44
2013;Latvia;24;14;14;0;8;3;2;41
2016;Latvia;25;14;12;0;9;5;4;44
2003;Lithuania;21;12;5;0;12;6;0;35
2005;Lithuania;25;11;6;1;9;6;1;34
2007;Lithuania;21;10;14;0;10;6;4;44
2010;Lithuania;22;17;12;0;8;1;3;41
2013;Lithuania;29;12;12;0;8;1;2;35
2016;Lithuania;28;12;13;1;8;5;4;43
2003;Luxembourg;28;7;4;0;7;3;2;23
2005;Luxembourg;30;7;4;0;5;7;3;26
2007;Luxembourg;28;6;11;0;9;7;3;36
2010;Luxembourg;29;5;11;0;9;1;7;33
2013;Luxembourg;28;5;15;0;9;1;7;37
2016;Luxembourg;33;5;15;0;9;1;7;37
2003;Malta;5;23;12;0;10;7;6;58
2005;Malta;5;19;17;3;9;7;7;62
2007;Malta;5;22;17;3;12;7;1;62
2010;Malta;7;19;17;0;9;1;6;52
2013;Malta;7;17;18;0;10;4;7;56
2016;Malta;13;17;12;1;11;5;5;51
2003;Netherlands;7;12;12;7;12;6;5;54
2005;Netherlands;10;16;9;4;12;6;5;52
2007;Netherlands;14;14;9;4;12;6;5;50
2010;Netherlands;13;16;13;1;9;1;6;46
2013;Netherlands;13;16;13;1;9;1;7;47
2016;Netherlands;9;14;15;3;9;5;7;53
2003;Norway;3;23;16;6;13;6;3;67
2005;Norway;3;26;17;5;13;6;4;71
2007;Norway;4;22;17;4;13;6;4;66
2013;Norway;4;20;17;3;12;4;5;61
2016;Norway;5;20;17;3;13;4;6;63
2010;Norway;3;25;17;2;12;1;5;62
2003;Poland;10;13;15;0;12;5;7;52
2005;Poland;12;16;10;0;12;6;6;50
2007;Poland;14;14;12;0;12;6;6;50
2010;Poland;19;15;11;0;9;1;7;43
2013;Poland;20;14;11;0;9;1;8;43
2016;Poland;15;14;11;1;11;5;8;50
2003;Portugal;20;13;0;6;9;6;2;37
2005;Portugal;19;17;5;0;10;6;1;39
2007;Portugal;23;20;5;4;10;6;1;42
2010;Portugal;19;18;11;0;8;1;5;43
2013;Portugal;24;14;11;0;8;1;7;41
2016;Portugal;19;14;11;1;10;5;6;47
2003;Romania;;;;;;;;
2005;Romania;29;13;6;0;0;3;5;27
2007;Romania;14;18;8;1;12;6;5;50
2010;Romania;16;21;7;0;7;3;7;45
2013;Romania;19;19;7;0;8;3;7;44
2016;Romania;7;17;19;0;8;5;7;56
2016;Russia;16;6;19;0;13;4;7;49
2013;Republic of Serbia;23;18;11;0;9;1;3;42
2016;Republic of Serbia;23;21;11;0;9;1;3;45
2003;Slovakia;15;14;11;0;11;3;4;43
2005;Slovakia;14;18;8;0;11;6;6;49
2007;Slovakia;17;17;8;0;11;6;6;48
2010;Slovakia;22;15;10;0;9;1;6;41
2013;Slovakia;27;13;10;0;9;1;6;34
2016;Slovakia;30;11;10;0;9;5;6;41
2003;Slovenia;12;12;15;0;9;6;5;47
2005;Slovenia;22;13;6;0;7;6;4;36
2007;Slovenia;25;12;6;0;12;6;4;40
2010;Slovenia;17;13;15;0;9;1;6;44
2013;Slovenia;20;12;15;0;9;1;6;43
2016;Slovenia;28;13;15;0;9;1;5;43
2007;Spain;12;12;15;5;12;6;5;55
2003;Spain;24;14;2;0;4;6;6;32
2005;Spain;26;12;3;3;3;6;4;31
2010;Spain;13;14;17;1;9;1;4;46
2013;Spain;7;15;21;1;9;4;6;56
2016;Spain;8;14;21;1;9;4;6;55
2003;Sweden;6;15;15;3;12;6;4;55
2005;Sweden;6;19;15;2;13;6;5;60
2010;Sweden;9;17;15;2;10;1;6;51
2013;Sweden;11;17;15;0;10;1;5;48
2016;Sweden;9;14;15;1;11;5;7;53
2007;Sweden;6;19;15;1;13;6;7;61
2003;Switzerland;21;13;6;5;4;3;4;35
2005;Switzerland;24;15;5;4;4;3;4;35
2007;Switzerland;18;14;6;10;4;6;7;47
2010;Switzerland;11;15;11;9;2;5;6;48
2013;Switzerland;18;13;11;7;2;5;7;45
2016;Switzerland;21;13;11;8;2;5;7;46
2010;Turkey;4;25;21;0;7;5;3;61
2013;Turkey;5;21;19;0;7;5;5;57
2016;Turkey;9;17;19;0;7;5;5;53
2003;United Kingdom;1;26;5;14;11;6;10;72
2005;United Kingdom;2;30;1;15;11;6;10;73
2007;United Kingdom;1;30;21;15;11;6;10;93
2010;United Kingdom;1;26;21;8;9;4;9;77
2013;United Kingdom;1;27;21;3;10;4;9;74
2016;United Kingdom;1;26;22;3;12;9;9;81
2013;Ukraine;10;20;17;0;12;4;0;53
2016;Ukraine;16;11;19;0;13;4;2;49
